timestamp,pub_timestamp,defer_failsafes_timeout_s,publisher_id,disable_auto_disarm,defer_failsafes,source_type,source_id
1771685615104000,1771685615104000,0,93,0,0,0,0
1771685615116000,1771685615116000,0,93,0,0,0,0
1771685615128000,1771685615128000,0,93,0,0,0,0
1771685615140000,1771685615140000,0,93,0,0,0,0
1771685615152000,1771685615152000,0,93,0,0,0,0
1771685615164000,1771685615164000,0,93,0,0,0,0
1771685615176000,1771685615176000,0,93,0,0,0,0
1771685615188000,1771685615188000,0,93,0,0,0,0
1771685615200000,1771685615200000,0,93,0,0,0,0
1771685615212000,1771685615212000,0,93,0,0,0,0
1771685615224000,1771685615224000,0,93,0,0,0,0
1771685615236000,1771685615236000,0,93,0,0,0,0
1771685615248000,1771685615248000,0,93,0,0,0,0
1771685615260000,1771685615260000,0,93,0,0,0,0
1771685615272000,1771685615272000,0,93,0,0,0,0
1771685615284000,1771685615284000,0,93,0,0,0,0
1771685615296000,1771685615296000,0,93,0,0,0,0
1771685615308000,1771685615308000,0,93,0,0,0,0
1771685615320000,1771685615320000,0,93,0,0,0,0
1771685615332000,1771685615332000,0,93,0,0,0,0
1771685615344000,1771685615344000,0,93,0,0,0,0
1771685615356000,1771685615356000,0,93,0,0,0,0
1771685615368000,1771685615368000,0,93,0,0,0,0
1771685615380000,1771685615380000,0,93,0,0,0,0
1771685615392000,1771685615392000,0,93,0,0,0,0
1771685615404000,1771685615404000,0,93,0,0,0,0
1771685615416000,1771685615416000,0,93,0,0,0,0
1771685615428000,1771685615428000,0,93,0,0,0,0
1771685615440000,1771685615440000,0,93,0,0,0,0
1771685615452000,1771685615452000,0,93,0,0,0,0
1771685615464000,1771685615464000,0,93,0,0,0,0
1771685615476000,1771685615476000,0,93,0,0,0,0
1771685615488000,1771685615488000,0,93,0,0,0,0
1771685615500000,1771685615500000,0,93,0,0,0,0
1771685615512000,1771685615512000,0,93,0,0,0,0
1771685615524000,1771685615524000,0,93,0,0,0,0
1771685615536000,1771685615536000,0,93,0,0,0,0
1771685615548000,1771685615548000,0,93,0,0,0,0
1771685615560000,1771685615560000,0,93,0,0,0,0
1771685615572000,1771685615572000,0,93,0,0,0,0
1771685615584000,1771685615584000,0,93,0,0,0,0
1771685615596000,1771685615596000,0,93,0,0,0,0
1771685615608000,1771685615608000,0,93,0,0,0,0
1771685615620000,1771685615620000,0,93,0,0,0,0
1771685615632000,1771685615632000,0,93,0,0,0,0
1771685615644000,1771685615644000,0,93,0,0,0,0
1771685615656000,1771685615656000,0,93,0,0,0,0
1771685615668000,1771685615668000,0,93,0,0,0,0
1771685615680000,1771685615680000,0,93,0,0,0,0
1771685615692000,1771685615692000,0,93,0,0,0,0
1771685615704000,1771685615704000,0,93,0,0,0,0
1771685615716000,1771685615716000,0,93,0,0,0,0
1771685615728000,1771685615728000,0,93,0,0,0,0
1771685615740000,1771685615740000,0,93,0,0,0,0
1771685615752000,1771685615752000,0,93,0,0,0,0
1771685615764000,1771685615764000,0,93,0,0,0,0
1771685615776000,1771685615776000,0,93,0,0,0,0
1771685615788000,1771685615788000,0,93,0,0,0,0
1771685615800000,1771685615800000,0,93,0,0,0,0
1771685615812000,1771685615812000,0,93,0,0,0,0
1771685615824000,1771685615824000,0,93,0,0,0,0
1771685615836000,1771685615836000,0,93,0,0,0,0
1771685615848000,1771685615848000,0,93,0,0,0,0
1771685615860000,1771685615860000,0,93,0,0,0,0
1771685615872000,1771685615872000,0,93,0,0,0,0
1771685615884000,1771685615884000,0,93,0,0,0,0
1771685615896000,1771685615896000,0,93,0,0,0,0
1771685615908000,1771685615908000,0,93,0,0,0,0
1771685615920000,1771685615920000,0,93,0,0,0,0
1771685615932000,1771685615932000,0,93,0,0,0,0
1771685615944000,1771685615944000,0,93,0,0,0,0
1771685615956000,1771685615956000,0,93,0,0,0,0
