timestamp,pub_timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro,publisher_id
1771685667816000,1771685667816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039484862,0.009020695,1.02935535e-10,0.0071826046,-0.0032559433,-9.809714,0.000660464,0.0027696877,0.0014913704,0.0012744595,0.00090801896,0.002010823,9.797669e-05,5.257853e-05,7.6030825e-05,0.0,0.0,126
1771685667916000,1771685667916000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039782047,0.009012132,1.11104737e-10,-0.008236054,-0.0036390154,-9.795924,-0.0009800432,0.0003195796,0.00085221155,0.0009353425,0.0011469754,0.0015984004,8.685103e-05,0.00011901093,6.413918e-05,0.0,0.0,126
1771685668016000,1771685668016000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040770575,0.009084556,1.1573627e-10,0.014844051,0.011205034,-9.8328905,-0.001470065,0.0023009712,-0.001981392,0.0010380062,0.001595329,0.0023943882,4.8424256e-05,9.5977564e-05,5.4529417e-05,0.0,0.0,126
1771685668116000,1771685668116000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040383995,0.008839815,7.9647434e-11,-0.024229322,-0.012258141,-9.818142,-0.00093743275,-0.0006391588,-0.0016831179,0.0012894206,0.0010520119,0.0016203262,7.8638e-05,5.0285307e-05,3.9639104e-05,0.0,0.0,126
1771685668216000,1771685668216000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.041459005,0.008784209,1.1871955e-10,-0.00938527,-0.008618955,-9.817568,0.001384844,-0.0020026974,6.391579e-05,0.0009132926,0.0010079122,0.002563304,5.867802e-05,0.00011509308,5.6557852e-05,0.0,0.0,126
1771685668316000,1771685668316000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.041382696,0.008635749,8.834814e-11,0.01187524,-0.0056501455,-9.794967,-0.00038349527,-0.0010013485,0.0028549086,0.0005366679,0.0012376206,0.0017747518,8.211896e-05,3.480774e-05,3.1558462e-05,0.0,0.0,126
1771685668416000,1771685668416000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039465286,0.008658224,1.12771945e-10,0.01877054,-0.0028728712,-9.816706,-0.0027057715,-0.0012783175,0.0007456852,0.001405192,0.0005942383,0.0010805319,6.501202e-05,9.345455e-05,6.905661e-05,0.0,0.0,126
1771685668516000,1771685668516000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03895246,0.008898646,1.2412252e-10,-0.0010534485,-0.01570579,-9.807512,-0.0016831178,0.00046871632,0.00012783172,0.0009057261,0.00089856086,0.0016083106,3.3232278e-05,0.00018942266,7.421705e-05,0.0,0.0,126
1771685668616000,1771685668616000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040753286,0.008313371,6.513429e-11,0.004501099,0.0075658485,-9.797552,-0.0028122982,-0.0035153728,-0.0012783174,0.0009913461,0.002307536,0.0019499137,3.360676e-05,6.172776e-05,1.9149555e-05,0.0,0.0,126
1771685668716000,1771685668716000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040921297,0.008303364,8.696397e-11,0.020685902,-0.009959708,-9.781751,-0.0013635386,-0.0038136467,-0.000213053,0.00066344504,0.0017390929,0.0013360886,5.9483715e-05,6.789061e-05,3.286158e-05,0.0,0.0,126
