timestamp,pub_timestamp,publisher_id,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
1771685697724000,1771685697724000,93,1,0,1,0,0,0,0
1771685698228000,1771685698228000,93,1,0,1,0,0,0,0
1771685698732000,1771685698732000,93,1,0,1,0,0,0,0
1771685699236000,1771685699236000,93,1,0,1,0,0,0,0
1771685699740000,1771685699740000,93,1,0,1,0,0,0,0
1771685700244000,1771685700244000,93,1,0,1,0,0,0,0
1771685700748000,1771685700748000,93,1,0,1,0,0,0,0
1771685701252000,1771685701252000,93,1,0,1,0,0,0,0
1771685701756000,1771685701756000,93,1,0,1,0,0,0,0
1771685702260000,1771685702260000,93,1,0,1,0,0,0,0
1771685702764000,1771685702764000,93,1,0,1,0,0,0,0
1771685703268000,1771685703268000,93,1,0,1,0,0,0,0
1771685703772000,1771685703772000,93,1,0,1,0,0,0,0
1771685704276000,1771685704276000,93,1,0,1,0,0,0,0
1771685704780000,1771685704780000,93,1,0,1,0,0,0,0
1771685705284000,1771685705284000,93,1,0,1,0,0,0,0
1771685705788000,1771685705788000,93,1,0,1,0,0,0,0
1771685706292000,1771685706292000,93,1,0,1,0,0,0,0
1771685706796000,1771685706796000,93,1,0,1,0,0,0,0
1771685707300000,1771685707300000,93,1,0,1,0,0,0,0
1771685707804000,1771685707804000,93,1,0,1,0,0,0,0
1771685708308000,1771685708308000,93,1,0,1,0,0,0,0
1771685708812000,1771685708812000,93,1,0,1,0,0,0,0
1771685709316000,1771685709316000,93,1,0,1,0,0,0,0
1771685709820000,1771685709820000,93,1,0,1,0,0,0,0
1771685710324000,1771685710324000,93,1,0,1,0,0,0,0
1771685710828000,1771685710828000,93,1,0,1,0,0,0,0
1771685711332000,1771685711332000,93,1,0,1,0,0,0,0
1771685711836000,1771685711836000,93,1,0,1,0,0,0,0
1771685712340000,1771685712340000,93,1,0,1,0,0,0,0
1771685712844000,1771685712844000,93,1,0,1,0,0,0,0
1771685713348000,1771685713348000,93,1,0,1,0,0,0,0
1771685713852000,1771685713852000,93,1,0,1,0,0,0,0
1771685714356000,1771685714356000,93,1,0,1,0,0,0,0
1771685714860000,1771685714860000,93,1,0,1,0,0,0,0
1771685715364000,1771685715364000,93,1,0,1,0,0,0,0
1771685715868000,1771685715868000,93,1,0,1,0,0,0,0
1771685716372000,1771685716372000,93,1,0,1,0,0,0,0
1771685716876000,1771685716876000,93,1,0,1,0,0,0,0
1771685717380000,1771685717380000,93,1,0,1,0,0,0,0
1771685717884000,1771685717884000,93,1,0,1,0,0,0,0
1771685718388000,1771685718388000,93,1,0,1,0,0,0,0
1771685718844000,1771685718844000,93,1,0,1,0,0,0,0
1771685719348000,1771685719348000,93,1,0,1,0,0,0,0
1771685719852000,1771685719852000,93,1,0,1,0,0,0,0
1771685720356000,1771685720356000,93,1,0,1,0,0,0,0
1771685720824000,1771685720824000,93,0,0,1,0,0,0,0
1771685721328000,1771685721328000,93,0,0,1,0,0,0,0
