timestamp,pub_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,publisher_id
1771685124476000,1771685124476000,-2.7145306e-05,1.0210817e-06,-5.2640435e-06,39
1771685124480000,1771685124480000,-3.6127753e-05,1.4645109e-06,-6.1846645e-06,39
1771685124484000,1771685124484000,-3.9436767e-05,1.8594212e-06,-4.316785e-06,39
1771685124488000,1771685124488000,-4.1859523e-05,-9.140408e-07,-9.772414e-07,39
1771685124492000,1771685124492000,-4.7745198e-05,-6.589446e-06,1.7261762e-06,39
1771685124496000,1771685124496000,-5.4498316e-05,-1.44947535e-05,2.8874044e-06,39
1771685124500000,1771685124500000,-6.010331e-05,-2.2450236e-05,1.4366994e-06,39
1771685124504000,1771685124504000,-6.6891516e-05,-2.854554e-05,-1.40917e-06,39
1771685124508000,1771685124508000,-7.806088e-05,-3.4361437e-05,-3.8016562e-06,39
1771685124512000,1771685124512000,-8.8314526e-05,-3.881408e-05,-6.59795e-06,39
1771685124516000,1771685124516000,-9.412819e-05,-3.9539445e-05,-9.940732e-06,39
1771685124520000,1771685124520000,-9.752096e-05,-3.5611934e-05,-1.2517453e-05,39
1771685124524000,1771685124524000,-0.00010389049,-2.5392876e-05,-1.37049965e-05,39
1771685124528000,1771685124528000,-0.000115885116,-1.1966105e-05,-1.3477401e-05,39
1771685124532000,1771685124532000,-0.00013023312,-8.145471e-07,-1.1842803e-05,39
1771685124536000,1771685124536000,-0.0001434901,3.8782337e-06,-1.0226407e-05,39
1771685124540000,1771685124540000,-0.0001551928,7.969944e-06,-9.540178e-06,39
1771685124544000,1771685124544000,-0.00016380579,1.4630488e-05,-7.43418e-06,39
1771685124548000,1771685124548000,-0.00016881006,1.7861174e-05,-3.2963048e-06,39
1771685124552000,1771685124552000,-0.00017599126,1.6232078e-05,1.129295e-06,39
