timestamp,pub_timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,publisher_id,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1771685123000000,1771685123000000,1771685123000000,1310988,1310988,9.587323e-06,-4.2610986e-06,1.8109515e-05,-2.3942017e-05,-0.00029688035,-0.039303217,4000,4000,126,0,0,0,1
1771685123004000,1771685123004000,1771685123004000,1310988,1310988,9.587363e-06,-1.0652928e-06,5.2197956e-05,-3.3518823e-05,-0.00024899628,-0.039308008,4000,4000,126,0,0,0,1
1771685123008000,1771685123008000,1771685123008000,1310988,1310988,3.195801e-05,-1.8109375e-05,2.0240013e-05,-0.00019632453,-0.00022026588,-0.03917393,4000,4000,126,0,0,0,1
1771685123012000,1771685123012000,1771685123012000,1310988,1310988,4.4741108e-05,1.0653372e-06,1.0653349e-06,-0.00023463179,-0.00021547747,-0.03931758,4000,4000,126,0,0,0,1
1771685123016000,1771685123016000,1771685123016000,1310988,1310988,4.1545318e-05,1.065266e-05,-3.1957575e-06,-2.3942017e-05,-0.00014843984,-0.03941814,4000,4000,126,0,0,0,1
1771685123020000,1771685123020000,1771685123020000,1310988,1310988,2.1305274e-05,-1.9174726e-05,-1.1717995e-05,5.746084e-05,-0.00011492099,-0.039322365,4000,4000,126,0,0,0,1
1771685123024000,1771685123024000,1771685123024000,1310988,1310988,-1.065236e-06,-2.1305232e-05,-3.0892712e-05,-7.661446e-05,-0.0001292862,-0.039236177,4000,4000,126,0,0,0,1
1771685123028000,1771685123028000,1771685123028000,1310988,1310988,-8.522109e-06,-1.171789e-05,-2.1305304e-05,-7.182605e-05,-0.0001244978,-0.03924575,4000,4000,126,0,0,0,1
1771685123032000,1771685123032000,1771685123032000,1310988,1310988,-7.456863e-06,5.32635e-06,2.1305279e-05,-4.7884034e-05,-1.9152927e-05,-0.0393511,4000,4000,126,0,0,0,1
1771685123036000,1771685123036000,1771685123036000,1310988,1310988,-1.4913728e-05,2.3435818e-05,3.941478e-05,-8.619126e-05,3.8307913e-05,-0.039293643,4000,4000,126,0,0,0,1
