timestamp,timestamp_sample,pub_timestamp,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,publisher_id,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1771685725876000,1771685725724000,1771685725876000,17764060236391,0.00021209072,0.0073355637,0.01937159,0,0.120493755,0.11312308,0.020957224,0.01457689,0.0026110865,0.010176834,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.551315,63.1572,0.47617692,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725884000,1771685725732000,1771685725884000,17764060236391,0.00020654105,0.007290359,0.019414019,0,0.12089998,0.113314845,0.020957224,0.01457689,0.0026110865,0.010118485,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.551315,63.1572,0.47617692,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725892000,1771685725740000,1771685725892000,17764060236391,0.00020103865,0.00722211,0.019360073,0,0.12130896,0.11356624,0.020957224,0.01457689,0.0026110865,0.010118485,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.551315,63.1572,0.47617692,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725900000,1771685725748000,1771685725900000,17764060236391,0.00019559331,0.0071552317,0.019306328,0,0.121720694,0.11381848,0.020957224,0.01457689,0.0026110865,0.010118485,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.551315,63.1572,0.47617692,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725908000,1771685725756000,1771685725908000,17764060236391,0.00019030288,0.007090265,0.019254157,0,0.12213519,0.11407155,0.020957224,0.01457689,0.0026110865,0.010118485,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.551315,63.1572,0.47617692,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725916000,1771685725764000,1771685725916000,17764060236391,0.00018592268,0.0074060666,0.019513853,0,0.11988758,0.11274726,0.020957224,0.014655153,0.0027259146,0.009802876,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.551315,63.1572,0.47617692,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725924000,1771685725772000,1771685725924000,17764060236391,0.0002009926,0.007341247,0.019451406,0,0.12028745,0.11299668,0.019870084,0.014655153,0.0027259146,0.009802876,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.09197,63.1572,0.48231897,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725932000,1771685725780000,1771685725932000,17764060236391,0.0001963345,0.0072677904,0.019385055,0,0.12069224,0.113246955,0.019870084,0.014655153,0.0027259146,0.009802876,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.09197,63.1572,0.48231897,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725940000,1771685725788000,1771685725940000,17764060236391,0.00019184138,0.007233942,0.019469926,0,0.12109977,0.113438934,0.019870084,0.014655153,0.0027259146,0.009878553,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.09197,63.1572,0.48231897,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725948000,1771685725796000,1771685725948000,17764060236391,0.00018644828,0.007162786,0.01939992,0,0.121510066,0.11369074,0.019870084,0.014655153,0.0027259146,0.009878553,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.09197,63.1572,0.48231897,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725956000,1771685725804000,1771685725956000,17764060236391,0.00018432541,0.0070996042,0.01933125,0,0.1219227,0.113943376,0.019870084,0.014655153,0.0027259146,0.009878553,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.09197,63.1572,0.48231897,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
