timestamp,pub_timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags,publisher_id
1771685729136000,1771685729136000,1771685729136000,0.49368727,0.4926657,0.4914589,0.49317676,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729140000,1771685729140000,1771685729140000,0.49393395,0.49338618,0.4905272,0.4952129,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729144000,1771685729144000,1771685729144000,0.49398148,0.4932631,0.48969564,0.49612004,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729148000,1771685729148000,1771685729148000,0.49580064,0.49235368,0.49122077,0.49561396,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729152000,1771685729152000,1771685729152000,0.49692288,0.49116167,0.49275705,0.49414745,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729156000,1771685729156000,1771685729156000,0.5006931,0.4952397,0.49833772,0.49663898,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729160000,1771685729160000,1771685729160000,0.49893168,0.49689364,0.499967,0.49511713,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729164000,1771685729164000,1771685729164000,0.4984696,0.49819106,0.5012342,0.49479157,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729168000,1771685729168000,1771685729168000,0.49974954,0.49690858,0.5003824,0.49564585,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729172000,1771685729172000,1771685729172000,0.5013915,0.49731788,0.49909407,0.4989169,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729176000,1771685729176000,1771685729176000,0.50045663,0.49826923,0.49767545,0.50031894,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729180000,1771685729180000,1771685729180000,0.5003026,0.49917012,0.4990121,0.49976626,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729184000,1771685729184000,1771685729184000,0.49946123,0.49999648,0.49965847,0.4991349,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729188000,1771685729188000,1771685729188000,0.4978875,0.501988,0.49814236,0.5010658,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729192000,1771685729192000,1771685729192000,0.49701184,0.5028387,0.49654034,0.50269276,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729196000,1771685729196000,1771685729196000,0.50181186,0.5054193,0.49981305,0.5069989,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729200000,1771685729200000,1771685729200000,0.50302255,0.5040855,0.4999127,0.5070223,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729204000,1771685729204000,1771685729204000,0.50298136,0.50447494,0.50195056,0.50547165,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729208000,1771685729208000,1771685729208000,0.50284797,0.50459653,0.5048666,0.5025674,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729212000,1771685729212000,1771685729212000,0.5042188,0.50488,0.506704,0.5023919,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729216000,1771685729216000,1771685729216000,0.50419575,0.50491863,0.505696,0.5033843,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729220000,1771685729220000,1771685729220000,0.5047763,0.50487655,0.5052995,0.5041719,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729224000,1771685729224000,1771685729224000,0.50605,0.5036565,0.50562125,0.5037965,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729228000,1771685729228000,1771685729228000,0.5073167,0.502659,0.5063659,0.50340587,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729232000,1771685729232000,1771685729232000,0.50766635,0.50226307,0.5071703,0.50264776,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729236000,1771685729236000,1771685729236000,0.51193005,0.50560486,0.5116032,0.5056739,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729240000,1771685729240000,1771685729240000,0.5121554,0.50545764,0.5102581,0.50694084,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729244000,1771685729244000,1771685729244000,0.51128954,0.5063956,0.50864255,0.50873655,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729248000,1771685729248000,1771685729248000,0.51003045,0.5075408,0.5086936,0.5087994,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729252000,1771685729252000,1771685729252000,0.50869185,0.51011634,0.509061,0.5098143,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729256000,1771685729256000,1771685729256000,0.5071682,0.5116804,0.5082599,0.510575,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729260000,1771685729260000,1771685729260000,0.5077113,0.511145,0.5088874,0.50971234,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729264000,1771685729264000,1771685729264000,0.50779325,0.51114154,0.50886714,0.5096541,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729268000,1771685729268000,1771685729268000,0.5060447,0.5126476,0.50735307,0.5108635,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729272000,1771685729272000,1771685729272000,0.5054083,0.5133382,0.50751454,0.51064783,nan,nan,nan,nan,nan,nan,nan,nan,0,27
