timestamp,pub_timestamp,publisher_id,geofence_max_dist_triggered,geofence_max_alt_triggered,geofence_custom_fence_triggered,geofence_action
1771685432428000,1771685432428000,96,0,0,0,2
1771685432676000,1771685432676000,96,0,0,0,2
1771685432932000,1771685432932000,96,0,0,0,2
1771685433180000,1771685433180000,96,0,0,0,2
1771685433436000,1771685433436000,96,0,0,0,2
1771685433684000,1771685433684000,96,0,0,0,2
1771685433940000,1771685433940000,96,0,0,0,2
1771685434188000,1771685434188000,96,0,0,0,2
1771685434444000,1771685434444000,96,0,0,0,2
1771685434692000,1771685434692000,96,0,0,0,2
1771685434948000,1771685434948000,96,0,0,0,2
1771685435196000,1771685435196000,96,0,0,0,2
1771685435452000,1771685435452000,96,0,0,0,2
1771685435700000,1771685435700000,96,0,0,0,2
1771685435956000,1771685435956000,96,0,0,0,2
1771685436204000,1771685436204000,96,0,0,0,2
1771685436460000,1771685436460000,96,0,0,0,2
1771685436708000,1771685436708000,96,0,0,0,2
1771685436964000,1771685436964000,96,0,0,0,2
1771685437212000,1771685437212000,96,0,0,0,2
1771685437468000,1771685437468000,96,0,0,0,2
1771685437716000,1771685437716000,96,0,0,0,2
1771685437964000,1771685437964000,96,0,0,0,2
1771685438220000,1771685438220000,96,0,0,0,2
1771685438468000,1771685438468000,96,0,0,0,2
1771685438676000,1771685438676000,96,0,0,0,2
1771685438924000,1771685438924000,96,0,0,0,2
1771685439172000,1771685439172000,96,0,0,0,2
1771685439428000,1771685439428000,96,0,0,0,2
1771685439636000,1771685439636000,96,0,0,0,2
1771685439884000,1771685439884000,96,0,0,0,2
1771685440132000,1771685440132000,96,0,0,0,2
1771685440380000,1771685440380000,96,0,0,0,2
1771685440588000,1771685440588000,96,0,0,0,2
1771685440844000,1771685440844000,96,0,0,0,2
1771685441092000,1771685441092000,96,0,0,0,2
1771685441340000,1771685441340000,96,0,0,0,2
1771685441588000,1771685441588000,96,0,0,0,2
1771685441796000,1771685441796000,96,0,0,0,2
1771685442052000,1771685442052000,96,0,0,0,2
1771685442300000,1771685442300000,96,0,0,0,2
1771685442548000,1771685442548000,96,0,0,0,2
1771685442756000,1771685442756000,96,0,0,0,2
1771685443004000,1771685443004000,96,0,0,0,2
1771685443260000,1771685443260000,96,0,0,0,2
1771685443508000,1771685443508000,96,0,0,0,2
1771685443716000,1771685443716000,96,0,0,0,2
1771685443964000,1771685443964000,96,0,0,0,2
1771685444212000,1771685444212000,96,0,0,0,2
1771685444468000,1771685444468000,96,0,0,0,2
1771685444676000,1771685444676000,96,0,0,0,2
1771685444924000,1771685444924000,96,0,0,0,2
1771685445172000,1771685445172000,96,0,0,0,2
1771685445420000,1771685445420000,96,0,0,0,2
1771685445628000,1771685445628000,96,0,0,0,2
1771685445884000,1771685445884000,96,0,0,0,2
