timestamp,pub_timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel,publisher_id
1771685327712000,1771685327712000,32767,32767,32767,32767,32767,32767,32767,160
1771685327716000,1771685327716000,32767,32767,32767,32767,32767,32767,32767,160
1771685327720000,1771685327720000,32767,32767,32767,32767,32767,32767,32767,160
1771685327724000,1771685327724000,32767,32767,32767,32767,32767,32767,32767,160
1771685327728000,1771685327728000,32767,32767,32767,32767,32767,32767,32767,160
1771685327732000,1771685327732000,32767,32767,32767,32767,32767,32767,32767,160
1771685327736000,1771685327736000,32767,32767,32767,32767,32767,32767,32767,160
1771685327740000,1771685327740000,32767,32767,32767,32767,32767,32767,32767,160
1771685327744000,1771685327744000,32767,32767,32767,32767,32767,32767,32767,160
1771685327748000,1771685327748000,32767,32767,32767,32767,32767,32767,32767,160
1771685327752000,1771685327752000,32767,32767,32767,32767,0,32767,32767,160
1771685327756000,1771685327756000,32767,32767,32767,32767,32767,32767,32767,160
1771685327760000,1771685327760000,32767,32767,32767,32767,32767,32767,32767,160
1771685327764000,1771685327764000,32767,32767,32767,32767,32767,32767,32767,160
1771685327768000,1771685327768000,32767,32767,32767,32767,32767,0,32767,160
1771685327772000,1771685327772000,32767,32767,32767,32767,32767,0,32767,160
1771685327776000,1771685327776000,32767,32767,32767,32767,32767,32767,32767,160
1771685327780000,1771685327780000,32767,32767,32767,32767,32767,32767,32767,160
1771685327784000,1771685327784000,32767,32767,32767,32767,32767,32767,32767,160
1771685327788000,1771685327788000,32767,32767,32767,32767,32767,32767,32767,160
1771685327792000,1771685327792000,32767,32767,32767,32767,32767,32767,32767,160
1771685327796000,1771685327796000,32767,32767,32767,32767,32767,32767,32767,160
1771685327800000,1771685327800000,32767,32767,32767,32767,32767,32767,32767,160
1771685327804000,1771685327804000,32767,32767,32767,32767,0,32767,32767,160
1771685327808000,1771685327808000,32767,32767,32767,32767,32767,32767,32767,160
1771685327812000,1771685327812000,32767,32767,32767,32767,32767,32767,32767,160
1771685327816000,1771685327816000,32767,32767,32767,32767,32767,32767,32767,160
1771685327820000,1771685327820000,32767,32767,32767,32767,32767,32767,32767,160
1771685327824000,1771685327824000,32767,32767,32767,32767,32767,32767,32767,160
1771685327828000,1771685327828000,32767,32767,32767,32767,32767,32767,32767,160
1771685327832000,1771685327832000,32767,32767,32767,32767,32767,32767,32767,160
1771685327836000,1771685327836000,32767,32767,32767,32767,32767,32767,32767,160
1771685327840000,1771685327840000,32767,32767,32767,32767,32767,32767,32767,160
1771685327844000,1771685327844000,32767,32767,32767,32767,32767,32767,32767,160
1771685327848000,1771685327848000,32767,32767,32767,32767,32767,32767,32767,160
1771685327852000,1771685327852000,32767,32767,32767,32767,32767,32767,32767,160
1771685327856000,1771685327856000,32767,32767,32767,32767,0,32767,32767,160
