timestamp,pub_timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,publisher_id,temperature_source,calibration_count
1771685337684000,1771685337684000,1771685337660000,6620172,497.41772,95491.336,15.0,1.1542826,126,0,1
1771685337736000,1771685337736000,1771685337712000,6620172,497.45996,95490.82,15.0,1.1542764,126,0,1
1771685337788000,1771685337788000,1771685337764000,6620172,497.56326,95489.67,15.0,1.1542624,126,0,1
1771685337840000,1771685337840000,1771685337816000,6620172,497.66187,95488.55,15.0,1.1542488,126,0,1
1771685337892000,1771685337892000,1771685337868000,6620172,497.77454,95487.234,15.0,1.154233,126,0,1
1771685337944000,1771685337944000,1771685337920000,6620172,497.86374,95486.2,15.0,1.1542206,126,0,1
1771685337996000,1771685337996000,1771685337972000,6620172,497.9107,95485.695,15.0,1.1542144,126,0,1
1771685338048000,1771685338048000,1771685338024000,6620172,498.0046,95484.625,15.0,1.1542015,126,0,1
1771685338100000,1771685338100000,1771685338076000,6620172,498.04684,95484.125,15.0,1.1541954,126,0,1
1771685338152000,1771685338152000,1771685338128000,6620172,498.1642,95482.766,15.0,1.154179,126,0,1
1771685338204000,1771685338204000,1771685338180000,6620172,498.21588,95482.17,15.0,1.1541718,126,0,1
1771685338256000,1771685338256000,1771685338232000,6620172,498.2816,95481.41,15.0,1.1541625,126,0,1
1771685338308000,1771685338308000,1771685338284000,6620172,498.35672,95480.58,15.0,1.1541525,126,0,1
1771685338360000,1771685338360000,1771685338336000,6620172,498.41776,95479.87,15.0,1.1541439,126,0,1
1771685338412000,1771685338412000,1771685338388000,6620172,498.5633,95478.2,15.0,1.1541238,126,0,1
1771685338464000,1771685338464000,1771685338440000,6620172,498.61496,95477.625,15.0,1.1541169,126,0,1
1771685338516000,1771685338516000,1771685338492000,6620172,498.72763,95476.34,15.0,1.1541014,126,0,1
1771685338568000,1771685338568000,1771685338544000,6620172,498.82623,95475.195,15.0,1.1540874,126,0,1
1771685338620000,1771685338620000,1771685338596000,6620172,498.95297,95473.766,15.0,1.1540701,126,0,1
1771685338672000,1771685338672000,1771685338648000,6620172,499.04688,95472.67,15.0,1.154057,126,0,1
1771685338724000,1771685338724000,1771685338700000,6620172,499.1126,95471.93,15.0,1.154048,126,0,1
1771685338776000,1771685338776000,1771685338752000,6620172,499.14078,95471.61,15.0,1.1540442,126,0,1
