timestamp,pub_timestamp,load,ram_usage,publisher_id
1771685511116000,1771685511116000,0.0,0.0,109
1771685511616000,1771685511616000,0.0,0.0,109
1771685512116000,1771685512116000,0.0,0.0,109
1771685512616000,1771685512616000,0.0,0.0,109
1771685513116000,1771685513116000,0.0,0.0,109
1771685513616000,1771685513616000,0.0,0.0,109
1771685514116000,1771685514116000,0.0,0.0,109
1771685514616000,1771685514616000,0.0,0.0,109
1771685515116000,1771685515116000,0.0,0.0,109
1771685515616000,1771685515616000,0.0,0.0,109
1771685516116000,1771685516116000,0.0,0.0,109
1771685516616000,1771685516616000,0.0,0.0,109
1771685517116000,1771685517116000,0.0,0.0,109
1771685517616000,1771685517616000,0.0,0.0,109
1771685518116000,1771685518116000,0.0,0.0,109
1771685518616000,1771685518616000,0.0,0.0,109
1771685519116000,1771685519116000,0.0,0.0,109
1771685519616000,1771685519616000,0.0,0.0,109
1771685520116000,1771685520116000,0.0,0.0,109
