timestamp,pub_timestamp,publisher_id,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1771685077324000,1771685077324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685078324000,1771685078324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685079324000,1771685079324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685080324000,1771685080324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685081324000,1771685081324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685082324000,1771685082324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685083324000,1771685083324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685084324000,1771685084324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685085324000,1771685085324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685086324000,1771685086324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685087324000,1771685087324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685088324000,1771685088324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685089324000,1771685089324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685090324000,1771685090324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685091324000,1771685091324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685092324000,1771685092324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685093324000,1771685093324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685094324000,1771685094324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685095324000,1771685095324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685096324000,1771685096324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685097324000,1771685097324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685098324000,1771685098324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685099324000,1771685099324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685100324000,1771685100324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685101324000,1771685101324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685102324000,1771685102324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685103324000,1771685103324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685104324000,1771685104324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685105324000,1771685105324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685106324000,1771685106324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685107324000,1771685107324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685108324000,1771685108324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685109324000,1771685109324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685110324000,1771685110324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685111324000,1771685111324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685112324000,1771685112324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685113324000,1771685113324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685114324000,1771685114324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685115324000,1771685115324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685116060000,1771685116060000,60,0,1,0,0,1,1,1,0,0,0,1,0
1771685116412000,1771685116412000,60,0,1,1,0,1,1,1,0,0,0,1,0
1771685116748000,1771685116748000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771685117748000,1771685117748000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771685118748000,1771685118748000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771685119748000,1771685119748000,60,0,1,1,1,1,1,1,0,0,0,1,1
