timestamp,pub_timestamp,control_power[0],control_power[1],control_power[2],publisher_id
1771685066768000,1771685066768000,9.20442e-06,1.3069766e-05,1.1765195e-06,39
1771685067268000,1771685067268000,7.521705e-06,1.3255897e-05,3.0226093e-07,39
1771685067768000,1771685067768000,3.7379984e-06,1.3295908e-05,7.278202e-08,39
1771685068268000,1771685068268000,6.1664527e-06,9.308763e-06,1.636787e-07,39
1771685068768000,1771685068768000,5.2978844e-06,5.5663895e-06,2.0400898e-07,39
1771685069268000,1771685069268000,7.718968e-06,4.862173e-06,1.6922071e-07,39
1771685069768000,1771685069768000,7.6115625e-06,1.1671021e-05,1.4111275e-07,39
1771685070268000,1771685070268000,5.8883693e-06,9.7215925e-06,8.86493e-08,39
1771685070768000,1771685070768000,7.4336353e-06,1.0791124e-05,1.202788e-07,39
1771685071268000,1771685071268000,7.589101e-06,6.9997e-06,4.6798885e-08,39
1771685071768000,1771685071768000,7.8951925e-06,5.8326273e-06,1.4188974e-07,39
1771685072268000,1771685072268000,6.4645897e-06,1.098532e-05,2.7957094e-08,39
1771685072768000,1771685072768000,5.470142e-06,9.314048e-06,1.831684e-07,39
1771685073268000,1771685073268000,5.193497e-06,7.2791695e-06,9.5834494e-08,39
1771685073768000,1771685073768000,5.2444434e-06,9.9648905e-06,8.7028916e-08,39
1771685074268000,1771685074268000,4.378064e-06,7.2260027e-06,1.4548236e-07,39
1771685074768000,1771685074768000,2.874965e-06,8.6499695e-06,1.18401545e-07,39
1771685075268000,1771685075268000,5.8628e-06,7.938604e-06,1.5160965e-07,39
1771685075768000,1771685075768000,5.1803536e-06,1.1068833e-05,3.6354677e-07,39
1771685076268000,1771685076268000,5.8571964e-06,3.76117e-06,7.115936e-08,39
1771685076768000,1771685076768000,5.94245e-06,6.6576426e-06,6.3548845e-07,39
1771685077268000,1771685077268000,8.3020095e-06,1.699456e-05,8.398736e-07,39
1771685077768000,1771685077768000,7.800406e-06,6.325625e-06,1.857862e-07,39
1771685078268000,1771685078268000,8.085215e-06,5.7688267e-06,1.4537045e-07,39
1771685078768000,1771685078768000,4.8219313e-06,8.052598e-06,1.17910666e-07,39
1771685079268000,1771685079268000,6.3500056e-06,1.0959073e-05,6.529861e-08,39
1771685079768000,1771685079768000,7.904634e-06,7.0806605e-06,3.2499028e-07,39
1771685080268000,1771685080268000,8.433504e-06,5.76205e-06,2.4885216e-07,39
1771685080768000,1771685080768000,4.722399e-06,1.0197223e-05,1.2216017e-07,39
1771685081268000,1771685081268000,5.597009e-06,6.8450236e-06,2.0608813e-07,39
1771685081768000,1771685081768000,6.8698123e-06,5.853551e-06,7.830712e-08,39
1771685082268000,1771685082268000,6.3141765e-06,1.2150628e-05,3.6721726e-08,39
1771685082768000,1771685082768000,6.1271653e-06,1.3892513e-05,1.9621939e-07,39
1771685083268000,1771685083268000,5.563942e-06,8.818058e-06,9.363987e-08,39
1771685083768000,1771685083768000,6.8166723e-06,6.3816897e-06,1.13345386e-07,39
1771685084268000,1771685084268000,5.4026973e-06,1.2458536e-05,4.3924967e-08,39
1771685084768000,1771685084768000,3.6969016e-06,8.101861e-06,1.6767497e-07,39
1771685085268000,1771685085268000,3.302209e-06,1.4926547e-05,2.3921567e-07,39
1771685085768000,1771685085768000,5.4382936e-06,7.0196984e-06,1.3639807e-07,39
1771685086268000,1771685086268000,7.64448e-06,4.86438e-06,1.297078e-07,39
1771685086768000,1771685086768000,6.7710607e-06,5.6172616e-06,5.4758786e-08,39
1771685087268000,1771685087268000,3.429442e-06,6.380048e-06,2.5257114e-07,39
1771685087768000,1771685087768000,8.662872e-06,7.909734e-06,1.3132204e-07,39
1771685088268000,1771685088268000,4.4254457e-06,5.925133e-06,8.821089e-08,39
1771685088768000,1771685088768000,8.343978e-06,4.2669203e-06,1.5726474e-07,39
